date,close
2025-01-14,99.11
2025-01-15,99.4
2025-01-16,97.57
2025-01-17,98.31
2025-01-20,99.62
2025-01-21,99.12
2025-01-22,99.62
2025-01-23,99.93
2025-01-24,99.5
2025-01-27,98.55
2025-01-28,96.32
2025-01-29,97.89
2025-01-30,97.85
2025-01-31,100.71
2025-02-03,101.67
2025-02-04,102.01
2025-02-05,101.27
2025-02-06,102.9
2025-02-07,102.33
2025-02-10,104.19
2025-02-11,103.74
2025-02-12,103.97
2025-02-13,102.21
2025-02-14,104.98
2025-02-17,104.89
2025-02-18,104.45
2025-02-19,105.43
2025-02-20,104.39
2025-02-21,105.32
2025-02-24,103.95
2025-02-25,104.61
2025-02-26,103.4
2025-02-27,101.28
2025-02-28,100.62
2025-03-03,98.98
2025-03-04,99.62
2025-03-05,99.66
2025-03-06,100.26
2025-03-07,100.38
2025-03-10,100.0
2025-03-11,100.05
2025-03-12,101.26
2025-03-13,101.07
2025-03-14,100.22
2025-03-17,99.14
2025-03-18,98.91
2025-03-19,98.09
2025-03-20,100.22
2025-03-21,98.91
2025-03-24,97.72
2025-03-25,97.4
2025-03-26,98.13
2025-03-27,97.85
2025-03-28,96.81
2025-03-31,95.95
2025-04-01,95.58
2025-04-02,96.66
2025-04-03,95.61
2025-04-04,95.53
2025-04-07,94.88
2025-04-08,95.25
2025-04-09,95.7
2025-04-10,94.14
2025-04-11,96.74
2025-04-14,96.96
2025-04-15,96.42
2025-04-16,95.46
2025-04-17,95.2
2025-04-18,95.25
2025-04-21,95.91
2025-04-22,95.94
2025-04-23,96.48
2025-04-24,94.75
2025-04-25,93.96
2025-04-28,92.91
2025-04-29,93.1
2025-04-30,93.6
2025-05-01,92.08
2025-05-02,91.92
2025-05-05,92.69
2025-05-06,93.68
2025-05-07,92.51
2025-05-08,93.12
2025-05-09,93.5
2025-05-12,93.05
2025-05-13,95.16
2025-05-14,93.98
2025-05-15,93.7
2025-05-16,94.2
2025-05-19,94.48
2025-05-20,94.31
2025-05-21,95.81
2025-05-22,97.41
2025-05-23,98.44
2025-05-26,99.58
2025-05-27,99.54
2025-05-28,98.25
2025-05-29,100.74
2025-05-30,99.67
2025-06-02,102.23
2025-06-03,102.11
2025-06-04,102.39
2025-06-05,102.21
2025-06-06,103.35
2025-06-09,102.77
2025-06-10,104.96
2025-06-11,105.62
2025-06-12,105.85
2025-06-13,105.18
2025-06-16,105.54
2025-06-17,105.55
2025-06-18,107.87
2025-06-19,109.04
2025-06-20,107.14
2025-06-23,109.04
2025-06-24,106.16
2025-06-25,108.05
2025-06-26,105.78
2025-06-27,105.8
2025-06-30,106.8
2025-07-01,106.81
2025-07-02,105.51
2025-07-03,107.01
2025-07-04,104.89
2025-07-07,103.19
2025-07-08,104.84
2025-07-09,103.83
2025-07-10,104.14
2025-07-11,105.12
2025-07-14,105.01
2025-07-15,105.36
2025-07-16,105.52
2025-07-17,105.8
2025-07-18,107.25
2025-07-21,108.41
2025-07-22,108.83
2025-07-23,109.98
2025-07-24,109.33
2025-07-25,108.4
2025-07-28,107.2
2025-07-29,108.17
2025-07-30,110.21
2025-07-31,110.33
2025-08-01,107.9
2025-08-04,107.3
2025-08-05,107.89
2025-08-06,108.27
2025-08-07,108.41
2025-08-08,109.65
2025-08-11,110.82
2025-08-12,109.17
2025-08-13,109.73
2025-08-14,108.83
2025-08-15,109.14
2025-08-18,110.71
2025-08-19,113.05
2025-08-20,113.97
2025-08-21,113.34
2025-08-22,112.91
2025-08-25,113.61
2025-08-26,112.37
2025-08-27,112.3
2025-08-28,113.09
2025-08-29,114.3
2025-09-01,113.93
2025-09-02,114.43
2025-09-03,116.23
2025-09-04,116.66
2025-09-05,114.43
2025-09-08,114.73
2025-09-09,115.07
2025-09-10,114.55
2025-09-11,114.62
2025-09-12,112.74
2025-09-15,114.36
2025-09-16,114.93
2025-09-17,114.24
2025-09-18,114.57
2025-09-19,114.76
2025-09-22,113.66
2025-09-23,110.3
2025-09-24,106.81
2025-09-25,109.31
2025-09-26,107.95
2025-09-29,107.61
2025-09-30,108.32
2025-10-01,107.9
2025-10-02,109.39
2025-10-03,108.23
2025-10-06,108.95
2025-10-07,106.42
2025-10-08,107.3
2025-10-09,108.16
2025-10-10,108.63
2025-10-13,109.02
2025-10-14,109.37
2025-10-15,110.47
2025-10-16,111.7
2025-10-17,110.53
2025-10-20,111.88
2025-10-21,110.71
2025-10-22,110.93
2025-10-23,110.63
2025-10-24,111.26
2025-10-27,110.86
2025-10-28,111.39
2025-10-29,110.8
2025-10-30,109.63
2025-10-31,110.98
2025-11-03,111.72
2025-11-04,112.39
2025-11-05,113.64
2025-11-06,112.3
2025-11-07,113.49
2025-11-10,112.16
2025-11-11,112.67
2025-11-12,112.46
2025-11-13,112.82
2025-11-14,113.74
2025-11-17,113.79
2025-11-18,112.62
2025-11-19,113.84
2025-11-20,115.39
2025-11-21,116.31
2025-11-24,117.7
2025-11-25,115.39
2025-11-26,115.51
2025-11-27,115.38
2025-11-28,112.87
2025-12-01,113.03
2025-12-02,113.05
2025-12-03,111.16
2025-12-04,110.12
2025-12-05,110.25
2025-12-08,111.02
2025-12-09,111.94
2025-12-10,110.56
2025-12-11,109.24
2025-12-12,108.63
2025-12-15,108.59
2025-12-16,107.9
2025-12-17,107.69
2025-12-18,108.58
2025-12-19,109.44
2025-12-22,109.63
2025-12-23,108.24
2025-12-24,107.66
2025-12-25,108.37
2025-12-26,109.46
2025-12-29,110.81
2025-12-30,109.5
2025-12-31,108.94
